Country_Name;Country_Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Aruba;ABW;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Afghanistan;AFG;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Angola;AGO;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Albania;ALB;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Andorra;AND;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Arab World;ARB;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
United Arab Emirates;ARE;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Argentina;ARG;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;from 1% to 5%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 1% to 5%;from 5% to 10%;from 10% to 15%;from 10% to 15%;from 10% to 15%;from 10% to 15%;from 10% to 15%;from 5% to 10%;from 10% to 15%;from 10% to 15%;from 10% to 15%;from 10% to 15%;from 10% to 15%;from 10% to 15%;from 10% to 15%;from 10% to 15%;from 10% to 15%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 5% to 10%;from 1% to 5%;from 1% to 5%;from 1% to 5%;from 1% to 5%
Armenia;ARM;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;from 5% to 10%;more than 30%;from 25% to 30%;from 25% to 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;from 25% to 30%;more than 30%;more than 30%
American Samoa;ASM;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Antigua and Barbuda;ATG;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Australia;AUS;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Austria;AUT;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Azerbaijan;AZE;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Burundi;BDI;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Belgium;BEL;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;from 15% to 20%;from 20% to 25%;from 25% to 30%;from 20% to 25%;from 20% to 25%;from 20% to 25%;from 25% to 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%
Benin;BEN;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Burkina Faso;BFA;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Bangladesh;BGD;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Bulgaria;BGR;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;from 1% to 5%;from 10% to 15%;from 15% to 20%;from 15% to 20%;from 15% to 20%;from 15% to 20%;from 15% to 20%;from 20% to 25%;from 25% to 30%;from 25% to 30%;from 25% to 30%;more than 30%;from 25% to 30%;from 25% to 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%;more than 30%
Bahrain;BHR;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
The Bahamas;BHS;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Bosnia and Herzegovina;BIH;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
Belarus;BLR;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%;none or less than 1%
